maker,name,product_number,wide_focal_length,telephoto_focal_length,wide_f_number,telephoto_f_number,wide_min_focus_distance,telephoto_min_focus_distance,max_photographing_magnification,filter_diameter,is_drip_proof,has_image_stabilization,is_inner_zoom,overall_diameter,overall_length,weight,price,mount,url
DZOFilm,Linglung 10-24mm T2.9/feet,,20,48,2.9,2.9,610,610,0,77,0,0,1,80,148.9,1100,217800,マイクロフォーサーズ,http://en.dzofilm.com/linglung.html
DZOFilm,Linglung 20-70mm T2.9/feet,,40,140,2.9,2.9,790,790,0,77,0,0,1,80,153.3,1100,193600,マイクロフォーサーズ,http://en.dzofilm.com/linglung.html
KAMLAN,KAMLAN 32mm F1.1,,64,64,1.1,1.1,400,400,0,62,0,0,1,92,70,601,25650,マイクロフォーサーズ,https://www.cameramon.jp/SHOP/KAM0025.html
KAMLAN,KAMLAN 15mm F2,,30,30,2,2,300,300,0,62,0,0,1,63,56,254,21927,マイクロフォーサーズ,https://www.cameramon.jp/SHOP/KAM0021.html
KAMLAN,KAMLAN 50mm F1.1 II,,100,100,1.1,1.1,400,400,0,62,0,0,1,72,68,563,25184,マイクロフォーサーズ,https://www.cameramon.jp/SHOP/KAM0017.html
KAMLAN,KAMLAN FS 21mm F1.8,,42,42,1.8,1.8,120,120,0,52,0,0,1,58,57,262,21764,マイクロフォーサーズ,https://www.cameramon.jp/SHOP/KAM0013.html
KAMLAN,KAMLAN FS 50mm F1.1,,100,100,1.1,1.1,500,500,0,52,0,0,1,56,59,248,21764,マイクロフォーサーズ,https://www.cameramon.jp/SHOP/KAM0009.html
KAMLAN,KAMLAN FS 28mm F1.4,,56,56,1.4,1.4,250,250,0,52,0,0,1,58,66,348,21764,マイクロフォーサーズ,https://www.cameramon.jp/SHOP/KAM0005.html
KAMLAN,KAMLAN FS 7.5mm F3.2 MFT,,15,15,3.2,3.2,100,100,0,-1,0,0,1,48,58,250,21764,マイクロフォーサーズ,https://www.cameramon.jp/SHOP/KAM0001.html
KOWA,KOWA PROMINAR 8.5mm F2.8,,17,17,2.8,2.8,200,200,0.14,86,0,0,1,71.5,86.8,440,116000,マイクロフォーサーズ,http://www.kowa-prominar.ne.jp/product/prominar_lenses/mft.html
KOWA,KOWA PROMINAR 12mm F1.8,,24,24,1.8,1.8,200,200,0.19,72,0,0,1,76.5,90.5,475,109000,マイクロフォーサーズ,http://www.kowa-prominar.ne.jp/product/prominar_lenses/mft.html
KOWA,KOWA PROMINAR 25mm F1.8,,50,50,1.8,1.8,250,250,0.28,55,0,0,1,60,94,400,89000,マイクロフォーサーズ,http://www.kowa-prominar.ne.jp/product/prominar_lenses/mft.html
TAMRON,14-150mm F/3.5-5.8 Di III (Model C001),C001,28,300,3.5,5.8,500,500,0.53,52,0,0,0,63.5,80.4,285,65000,マイクロフォーサーズ,https://www.tamron.jp/product/lenses/c001.html
Tokina,Reflex 300mm F6.3 MF MACRO,,600,600,6.3,6.3,800,800,1,55,0,0,1,66,66,298,40000,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/tokina/macro-lenses/reflex_300mm_f63_mf_macro/
Tokina,ミラーレンズ400mm F8 N II,,800,800,8,8,1150,1150,0.8,67,0,0,1,74,112,495,22000,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/kenko_cameralens/4961607423400.html
銘匠光学,TTArtisan 11mm f/2.8 Fisheye,,11,11,2.8,2.8,170,170,0,-1,0,0,1,67,89,510,29700,ライカL,http://www.stkb.jp/shop/shopdetail.html?brandcode=000000001355&search=%A5%E9%A5%A4%A5%ABL&sort=
銘匠光学,TTArtisan 50mm f/1.2 C,,100,100,1.2,1.2,500,500,0,52,0,0,1,62,55,335,13950,マイクロフォーサーズ,http://stkb.co.jp/info/?p=15879
銘匠光学,TTArtisan 35mm f/1.4 C,,70,70,1.4,1.4,280,280,0,39,0,0,1,56,50,180,8910,マイクロフォーサーズ,http://stkb.co.jp/info/?p=15468
Vazen,VAZEN 28MM T2.2 1.8X アナモフィックレンズ,,56,56,2.2,2.2,820,820,0,77,0,0,1,80,107,720,439780,マイクロフォーサーズ,https://prtimes.jp/main/html/rd/p/000000002.000063473.html
