maker,name,product_number,wide_focal_length,telephoto_focal_length,wide_f_number,telephoto_f_number,wide_min_focus_distance,telephoto_min_focus_distance,max_photographing_magnification,filter_diameter,is_drip_proof,has_image_stabilization,is_inner_zoom,overall_diameter,overall_length,weight,price,url
TAMRON,14-150mm F/3.5-5.8 Di III (Model C001),C001,28,300,3.5,5.8,500,500,0.53,52,0,0,0,63.5,80.4,285,65000,https://www.tamron.jp/product/lenses/c001.html
Tokina,Reflex 300mm F6.3 MF MACRO,,600,600,6.3,6.3,800,800,1,55,0,0,1,66,66,298,40000,https://www.kenko-tokina.co.jp/camera-lens/tokina/macro-lenses/reflex_300mm_f63_mf_macro/
Tokina,ミラーレンズ400mm F8 N II,,800,800,8,8,1150,1150,0.8,67,0,0,1,74,112,495,22000,https://www.kenko-tokina.co.jp/camera-lens/kenko_cameralens/4961607423400.html
Cosina,Voigtlander NOKTON 10.5mm F0.95,,21,21,0.95,0.95,170,170,0.24,72,0,0,1,77,82.4,585,148000,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-10_5mm/index.html
Cosina,Voigtlander NOKTON 17.5mm F0.95,,35,35,0.95,0.95,150,150,0.5,58,0,0,1,63.4,80,540,118000,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-17_5mm/index.html
Cosina,Voigtlander NOKTON 25mm F0.95 Type II,,50,50,0.95,0.95,170,170,0.51,52,0,0,1,60.6,70,435,105000,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-25mm-2/index.html
Cosina,Voigtlander NOKTON 42.5mm F0.95,,85,85,0.95,0.95,230,230,0.5,58,0,0,1,64.3,74.6,571,118000,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-42_5mm/index.html
Cosina,Voigtlander NOKTON 60mm F0.95,,120,120,0.95,0.95,340,340,0.5,77,0,0,1,82.5,87.7,860,145000,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-60mm/index.html
KOWA,KOWA PROMINAR 8.5mm F2.8,,17,17,2.8,2.8,200,200,0.14,86,0,0,1,71.5,86.8,440,116000,http://www.kowa-prominar.ne.jp/product/prominar_lenses/mft.html
KOWA,KOWA PROMINAR 12mm F1.8,,24,24,1.8,1.8,200,200,0.19,72,0,0,1,76.5,90.5,475,109000,http://www.kowa-prominar.ne.jp/product/prominar_lenses/mft.html
KOWA,KOWA PROMINAR 25mm F1.8,,50,50,1.8,1.8,250,250,0.28,55,0,0,1,60,94,400,89000,http://www.kowa-prominar.ne.jp/product/prominar_lenses/mft.html
LAOWA,LAOWA 9mm F2.8 ZERO-D,,18,18,2.8,2.8,120,120,0.26,49,0,0,1,60,53,215,59171,https://www.laowa.jp/cat1/5c8be9378b2ff66d8875fdc9f402ab91489cb7ee.html
LAOWA,LAOWA 17mm F1.8 MFT,,34,34,1.8,1.8,150,150,0.4,46,0,0,1,55,51,172,17836,https://www.laowa.jp/cat1/05e5b5fe511b3a39e131d45e884c044762578645.html
LAOWA,LAOWA 4mm F2.8 Fisheye MFT,,8,8,2.8,2.8,80,80,0.22,-1,0,0,1,45.2,25.5,135,22950,https://www.laowa.jp/cat1/05a17726451511950b0e847d846af510e8153f47.html
LAOWA,LAOWA 7.5mm F2 MFT,,15,15,2,2,120,120,0.22,46,0,0,1,50,55,170,59175,https://www.laowa.jp/cat1/03f1738be5312d3af4cdb384717280520b0a1543.html
安原製作所,MOMO(M),,56,56,6.4,6.4,0,0,0,37,0,0,1,61,35,126,21000,http://www.yasuhara.co.jp/momo/index.html
安原製作所,NANOHA x5,,0,0,11,11,0,0,0,0,0,0,0,61,84,310,47000,http://www.yasuhara.co.jp/nanoha/index.html
