name,url,product_number,max_photographing_magnification,has_image_stabilization,filter_diameter,overall_size,weight,is_drip_proof,price,mount,maker,wide_focal_length,telephoto_focal_length,wide_f_number,telephoto_f_number,wide_min_focus_distance,telephoto_min_focus_distance,min_focus_distance_
LUMIX G VARIO 7-14mm / F4.0 ASPH.,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_7-14.html,H-F007014,0.08倍,－,－,φ70mm(固定フード部)×約83.1mm,約300g,－,"119,000円（税抜）",マイクロフォーサーズ,Panasonic,14,28,4.0,4.0,250,250,0.25m
LEICA DG VARIO-ELMARIT 8-18mm / F2.8-4.0 ASPH.,https://panasonic.jp/dc/products/g_series_lens/leica_dg_vario_elmarit_8-18.html,H-E08018,0.12倍,－,φ67mm,φ73.4mm×約88mm,約315g,○,"158,000円（税抜）",マイクロフォーサーズ,Panasonic,16,36,2.8,4.0,230,230,0.23m
LEICA DG VARIO-SUMMILUX 10-25mm / F1.7 ASPH.,https://panasonic.jp/dc/products/g_series_lens/leica_dg_vario_summilux_10-25.html,H-X1025,0.14倍,－,φ77mm,φ87.6mm×約128mm,約690g,○,"270,000円（税抜）",マイクロフォーサーズ,Panasonic,20,50,1.7,1.7,280,280,0.28m
LUMIX G VARIO 12-32mm / F3.5-5.6 ASPH. / MEGA O.I.S.,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_12-32.html,H-FS12032,0.13倍,MEGA O.I.S.,φ37mm,φ55.5mm×約24mm,約70g,－,"42,000円（税抜）",マイクロフォーサーズ,Panasonic,24,64,3.5,5.6,200,300,0.2m / 0.3m
LUMIX G X VARIO 12-35mm / F2.8 II ASPH. / POWER O.I.S.,https://panasonic.jp/dc/products/g_series_lens/lumix_g_x_vario_12-35_ii.html,H-HSA12035,0.17倍,POWER O.I.S.,φ58mm,φ67.6mm×約73.8mm,約305g,○,"119,000円（税抜）",マイクロフォーサーズ,Panasonic,24,70,2.8,2.8,250,250,0.25m
LEICA DG VARIO-ELMARIT 12-60mm / F2.8-4.0 ASPH. / POWER O.I.S.,https://panasonic.jp/dc/products/g_series_lens/leica_dg_vario_elmarit_12-60.html,H-ES12060,0.3倍,POWER O.I.S.,φ62mm,φ68.4mm×約86mm,約320g,○,"125,000円（税抜）",マイクロフォーサーズ,Panasonic,24,120,2.8,4.0,200,240,0.2m / 0.24m
LUMIX G VARIO 12-60mm / F3.5-5.6 ASPH. / POWER O.I.S.,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_12-60.html,H-FS12060,0.27倍,POWER O.I.S.,φ58mm,φ66mm×約71mm,約210g,○,"68,000円（税抜）",マイクロフォーサーズ,Panasonic,24,120,3.5,5.6,200,250,0.2m / 0.25m
LUMIX G VARIO 14-42mm / F3.5-5.6 II ASPH. / MEGA O.I.S.,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_14-42.html,H-FS1442A,0.17倍,MEGA O.I.S.,φ46mm,φ56.0mm×約49.0mm,約110g,－,"30,000円（税抜）",マイクロフォーサーズ,Panasonic,28,84,3.5,5.6,200,300,0.2m / 0.3m
LUMIX G X VARIO PZ 14-42mm / F3.5-5.6 ASPH. / POWER O.I.S.,https://panasonic.jp/dc/products/g_series_lens/lumix_g_x_vario_pz_14-42.html,H-PS14042,0.17倍,POWER O.I.S.,φ37mm,φ61.0mm×約26.8mm,約95g,－,"47,500円（税抜）",マイクロフォーサーズ,Panasonic,28,84,3.5,5.6,200,300,0.2m / 0.3m
LUMIX G VARIO 14-140mm / F3.5-5.6 II ASPH. / POWER O.I.S.,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_14-140_ii.html,H-FSA14140,0.25倍,POWER O.I.S.,φ58mm,φ67mm×約75mm,約265g,○,"95,000円（税抜）",マイクロフォーサーズ,Panasonic,28,280,3.5,5.6,300,500,0.3m / 0.5m
