maker,name,product_number,wide_focal_length,telephoto_focal_length,wide_f_number,telephoto_f_number,wide_min_focus_distance,telephoto_min_focus_distance,max_photographing_magnification,filter_diameter,is_drip_proof,has_image_stabilization,is_inner_zoom,overall_diameter,overall_length,weight,price,mount,url
Panasonic,LUMIX G VARIO 7-14mm / F4.0 ASPH.,H-F007014,14,28,4.0,4.0,250,250,0.16,-1.0,False,False,True,70.0,83.1,300,130900,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_7-14.html
Panasonic,LEICA DG VARIO-ELMARIT 8-18mm / F2.8-4.0 ASPH.,H-E08018,16,36,2.8,4.0,230,230,0.24,67.0,True,False,True,73.4,88.0,315,173800,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_vario_elmarit_8-18.html
Panasonic,LEICA DG VARIO-SUMMILUX 10-25mm / F1.7 ASPH.,H-X1025,20,50,1.7,1.7,280,280,0.28,77.0,True,False,False,87.6,128.0,690,297000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_vario_summilux_10-25.html
Panasonic,LUMIX G VARIO 12-32mm / F3.5-5.6 ASPH. / MEGA O.I.S.,H-FS12032,24,64,3.5,5.6,200,300,0.26,37.0,False,True,False,55.5,24.0,70,46200,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_12-32.html
Panasonic,LUMIX G X VARIO 12-35mm / F2.8 II ASPH. / POWER O.I.S.,H-HSA12035,24,70,2.8,2.8,250,250,0.34,58.0,True,True,False,67.6,73.8,305,130900,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_x_vario_12-35_ii.html
Panasonic,LEICA DG VARIO-ELMARIT 12-60mm / F2.8-4.0 ASPH. / POWER O.I.S.,H-ES12060,24,120,2.8,4.0,200,240,0.6,62.0,True,True,False,68.4,86.0,320,137500,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_vario_elmarit_12-60.html
Panasonic,LUMIX G VARIO 12-60mm / F3.5-5.6 ASPH. / POWER O.I.S.,H-FS12060,24,120,3.5,5.6,200,250,0.54,58.0,True,True,False,66.0,71.0,210,74800,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_12-60.html
Panasonic,LUMIX G VARIO 14-42mm / F3.5-5.6 II ASPH. / MEGA O.I.S.,H-FS1442A,28,84,3.5,5.6,200,300,0.34,46.0,False,True,False,56.0,49.0,110,33000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_14-42.html
Panasonic,LUMIX G X VARIO PZ 14-42mm / F3.5-5.6 ASPH. / POWER O.I.S.,H-PS14042,28,84,3.5,5.6,200,300,0.34,37.0,False,True,False,61.0,26.8,95,52250,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_x_vario_pz_14-42.html
Panasonic,LUMIX G VARIO 14-140mm / F3.5-5.6 II ASPH. / POWER O.I.S.,H-FSA14140,28,280,3.5,5.6,300,500,0.5,58.0,True,True,False,67.0,75.0,265,104500,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_14-140_ii.html
